,gameIds,timeStamps,queues,seasons
33941,2679525062,1514248221847,430,9
33942,2679252203,1514195520878,430,9
33943,2679218731,1514188612877,430,9
33944,2678874038,1514154236833,430,9
33945,2678383832,1514106267660,430,9
33946,2678306941,1514098552137,1010,9
33947,2678214306,1514090546440,430,9
33948,2678030270,1514074027019,1010,9
33949,2677987644,1514072399004,1010,9
33950,2677999744,1514070740389,430,9
33951,2677958113,1514069425730,430,9
33952,2677953193,1514067903650,430,9
33953,2677928257,1514066341009,1010,9
33954,2677940887,1514064826169,430,9
33955,2677668787,1514015847322,1010,9
33956,2677664159,1514014195588,430,9
33957,2674112110,1513651044221,420,9
33958,2674070674,1513648394140,420,9
33959,2674041649,1513646237462,420,9
33960,2674024522,1513644466918,420,9
33961,2671598323,1513399381069,420,9
33962,2671578275,1513397568981,420,9
33963,2671546445,1513395137871,420,9
33964,2671505234,1513392453783,420,9
33965,2671141856,1513328476643,420,9
33966,2671116833,1513325400496,420,9
33967,2671095425,1513320869044,420,9
33968,2669614920,1513153222723,420,9
33969,2669578788,1513149862942,420,9
33970,2669402593,1513134164500,420,9
33971,2669167536,1513116908716,420,9
33972,2669103562,1513108503028,420,9
33973,2669064185,1513103384106,420,9
33974,2668984617,1513071779920,420,9
33975,2668963418,1513069161779,420,9
33976,2668954274,1513064457468,420,9
33977,2679052994,1514171826111,440,9
33978,2679022931,1514168726881,440,9
33979,2677549869,1514003231593,1010,9
33980,2677506925,1514002092160,450,9
33981,2674861144,1513737324938,1010,9
33982,2674793243,1513735885896,1010,9
33983,2674765287,1513734603248,1010,9
33984,2674697068,1513732674798,1010,9
33985,2674685752,1513730754458,1010,9
33986,2674496043,1513715936253,1010,9
33987,2672785328,1513501833657,450,9
